Points_0,Points_1,Points_2,Points_Magnitude,R_0,R_1,R_2,R_3,R_4,R_5,R_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,UPrime2Mean_0,UPrime2Mean_1,UPrime2Mean_2,UPrime2Mean_3,UPrime2Mean_4,UPrime2Mean_5,UPrime2Mean_Magnitude,U_0,U_1,U_2,U_Magnitude,alpha.water,arc_length,devReff_0,devReff_1,devReff_2,devReff_3,devReff_4,devReff_5,devReff_Magnitude,epsilon,k,nuEff,nut,p,p_rgh,Point ID,vtkValidPointMask,yPlus
0.2,0.053,0.0005,0.206904,0.0308973,0.0308975,0.0308974,-0.0284128,0,0,0.0605907,0.574562,-2.43979e-07,0,0.574562,0.00381497,6.64921e-13,0,5.75065e-10,0,0,0.00381497,0.618584,-1.5198e-07,0,0.618584,6.92878e-06,0.053,-6.95893e-08,7.06687e-08,-1.07928e-09,-0.0321918,0,0,0.0321918,0.136271,0.0463461,0.00160737,0.00141869,-5.11952,-4.59956,530,1,0
0.2,0.0531,0.0005,0.20693,0.0309482,0.0309483,0.0309482,-0.0283294,0,0,0.0606295,0.576571,-2.45173e-07,0,0.576571,0.00381603,6.69021e-13,0,5.92783e-10,0,0,0.00381603,0.620599,-1.54155e-07,0,0.620599,4.85101e-06,0.0531,-6.76897e-08,6.87024e-08,-1.01264e-09,-0.0320956,0,0,0.0320956,0.136656,0.0464223,0.00160802,0.00141934,-5.1205,-4.59957,531,1,0
0.2,0.0532,0.0005,0.206955,0.030999,0.0309991,0.030999,-0.0282461,0,0,0.0606684,0.578579,-2.46368e-07,0,0.578579,0.00381709,6.7312e-13,0,6.10501e-10,0,0,0.00381709,0.622615,-1.5633e-07,0,0.622615,2.77331e-06,0.0532,-6.57901e-08,6.67362e-08,-9.46012e-10,-0.0319994,0,0,0.0319994,0.137041,0.0464985,0.00160866,0.00141998,-5.12148,-4.59958,532,1,0
0.2,0.0533,0.0005,0.206981,0.0310498,0.0310499,0.0310498,-0.0281627,0,0,0.0607076,0.580588,-2.47562e-07,0,0.580588,0.00381816,6.7722e-13,0,6.28219e-10,0,0,0.00381816,0.62463,-1.58505e-07,0,0.62463,6.9553e-07,0.0533,-6.38904e-08,6.47699e-08,-8.79379e-10,-0.0319032,0,0,0.0319032,0.137427,0.0465748,0.00160931,0.00142063,-5.12247,-4.59959,533,1,0
0.2,0.0534,0.0005,0.207007,0.0310909,0.031091,0.0310909,-0.028062,0,0,0.0607241,0.58255,-2.48421e-07,0,0.58255,0.00381911,6.80623e-13,0,6.27333e-10,0,0,0.00381911,0.626598,-1.60471e-07,0,0.626598,2.70251e-09,0.0534,-6.20954e-08,6.29574e-08,-8.61942e-10,-0.0317879,0,0,0.0317879,0.137742,0.0466364,0.00160981,0.00142113,-5.12345,-4.5996,534,1,0
0.2,0.0535,0.0005,0.207033,0.0311271,0.0311272,0.0311271,-0.0279527,0,0,0.0607293,0.58449,-2.49112e-07,0,0.58449,0.00382001,6.83678e-13,0,6.17145e-10,0,0,0.00382001,0.628543,-1.62333e-07,0,0.628543,2.35009e-09,0.0535,-6.03528e-08,6.1222e-08,-8.69104e-10,-0.031663,0,0,0.031663,0.138023,0.0466907,0.00161022,0.00142154,-5.12443,-4.5996,535,1,0
0.2,0.0536,0.0005,0.207058,0.0311633,0.0311634,0.0311633,-0.0278435,0,0,0.0607348,0.586429,-2.49803e-07,0,0.586429,0.00382091,6.86733e-13,0,6.06957e-10,0,0,0.00382091,0.630489,-1.64196e-07,0,0.630489,1.99767e-09,0.0536,-5.86102e-08,5.94865e-08,-8.76266e-10,-0.0315381,0,0,0.0315381,0.138304,0.046745,0.00161064,0.00142196,-5.12541,-4.5996,536,1,0
0.2,0.0537,0.0005,0.207084,0.0311995,0.0311996,0.0311995,-0.0277342,0,0,0.0607405,0.588369,-2.50494e-07,0,0.588369,0.00382181,6.89787e-13,0,5.96769e-10,0,0,0.00382181,0.632434,-1.66058e-07,0,0.632434,1.64526e-09,0.0537,-5.68676e-08,5.77511e-08,-8.83428e-10,-0.0314133,0,0,0.0314133,0.138585,0.0467993,0.00161105,0.00142237,-5.12639,-4.5996,537,1,0
0.2,0.0538,0.0005,0.20711,0.0312356,0.0312358,0.0312357,-0.0276249,0,0,0.0607465,0.590308,-2.51184e-07,0,0.590308,0.00382272,6.92842e-13,0,5.86581e-10,0,0,0.00382272,0.634379,-1.6792e-07,0,0.634379,1.29283e-09,0.0538,-5.51249e-08,5.60155e-08,-8.9059e-10,-0.0312884,0,0,0.0312884,0.138867,0.0468535,0.00161147,0.00142279,-5.12737,-4.5996,538,1,0
0.2,0.0539,0.0005,0.207136,0.0312718,0.031272,0.0312719,-0.0275156,0,0,0.0607528,0.592248,-2.51875e-07,0,0.592248,0.00382362,6.95896e-13,0,5.76393e-10,0,0,0.00382362,0.636324,-1.69782e-07,0,0.636324,9.40422e-10,0.0539,-5.33823e-08,5.42801e-08,-8.97751e-10,-0.0311636,0,0,0.0311636,0.139148,0.0469078,0.00161189,0.00142321,-5.12835,-4.5996,539,1,0
