Points_0,Points_1,Points_2,Points_Magnitude,R_0,R_1,R_2,R_3,R_4,R_5,R_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,UPrime2Mean_0,UPrime2Mean_1,UPrime2Mean_2,UPrime2Mean_3,UPrime2Mean_4,UPrime2Mean_5,UPrime2Mean_Magnitude,U_0,U_1,U_2,U_Magnitude,alpha.water,arc_length,devReff_0,devReff_1,devReff_2,devReff_3,devReff_4,devReff_5,devReff_Magnitude,epsilon,k,nuEff,nut,omega,p,p_rgh,Point ID,vtkValidPointMask,yPlus
0.2,0.0024,0.0005,0.200015,6.19803e-06,6.19803e-06,6.19803e-06,-1.5098e-07,0,0,1.07364e-05,0.111751,-6.41682e-08,0,0.111751,0,0,0,0,0,0,0,0.111751,-6.41682e-08,0,0.111751,1,0.0024,-4.79058e-09,4.5667e-09,2.23859e-10,-0.00863889,0,0,0.00863889,0.00262496,9.29701e-06,0.000188683,3.3171e-09,4528.62,-0.439453,-0.204013,24,1,0
0.2,0.0025,0.0005,0.200016,6.80957e-06,6.80957e-06,6.80957e-06,-1.68675e-07,0,0,1.17957e-05,0.116351,-6.55512e-08,0,0.116351,0,0,0,0,0,0,0,0.116351,-6.55512e-08,0,0.116351,1,0.0025,-4.37903e-09,4.10572e-09,2.73283e-10,-0.00862643,0,0,0.00862643,0.00278237,1.02143e-05,0.000188683,3.70656e-09,3775.33,-0.449263,-0.204013,25,1,0
0.2,0.0026,0.0005,0.200018,8.238e-06,8.238e-06,8.238e-06,-2.43373e-07,0,0,1.42707e-05,0.120895,-6.61994e-08,0,0.120895,0,0,0,0,0,0,0,0.120895,-6.61994e-08,0,0.120895,1,0.0026,-4.0762e-09,3.80465e-09,2.71537e-10,-0.00861385,0,0,0.00861385,0.00296311,1.2357e-05,0.000188685,5.37228e-09,3552.85,-0.459073,-0.204013,26,1,0
0.2,0.0027,0.0005,0.200019,9.66644e-06,9.66644e-06,9.66644e-06,-3.18072e-07,0,0,1.67458e-05,0.125439,-6.68477e-08,0,0.125439,0,0,0,0,0,0,0,0.125439,-6.68477e-08,0,0.125439,1,0.0027,-3.77338e-09,3.50357e-09,2.69791e-10,-0.00860128,0,0,0.00860128,0.00314384,1.44996e-05,0.000188686,7.03801e-09,3330.36,-0.468883,-0.204013,27,1,0
0.2,0.0028,0.0005,0.20002,1.10949e-05,1.10949e-05,1.10949e-05,-3.92771e-07,0,0,1.92209e-05,0.129983,-6.74959e-08,0,0.129983,0,0,0,0,0,0,0,0.129983,-6.74959e-08,0,0.129983,1,0.0028,-3.47056e-09,3.2025e-09,2.68044e-10,-0.00858871,0,0,0.00858871,0.00332458,1.66423e-05,0.000188688,8.70373e-09,3107.88,-0.478693,-0.204013,28,1,0
0.2,0.0029,0.0005,0.200022,1.25233e-05,1.25233e-05,1.25233e-05,-4.67469e-07,0,0,2.1696e-05,0.134527,-6.81441e-08,0,0.134527,0,0,0,0,0,0,0,0.134527,-6.81441e-08,0,0.134527,1,0.0029,-3.16774e-09,2.90143e-09,2.66298e-10,-0.00857614,0,0,0.00857614,0.00350531,1.87849e-05,0.00018869,1.03694e-08,2885.39,-0.488503,-0.204013,29,1,0
0.2,0.003,0.0005,0.200023,1.39517e-05,1.39517e-05,1.39517e-05,-5.42168e-07,0,0,2.41712e-05,0.139071,-6.87924e-08,0,0.139071,0,0,0,0,0,0,0,0.139071,-6.87924e-08,0,0.139071,1,0.003,-2.86492e-09,2.60035e-09,2.64552e-10,-0.00856357,0,0,0.00856357,0.00368605,2.09276e-05,0.000188691,1.20352e-08,2662.91,-0.498313,-0.204013,30,1,0
0.2,0.0031,0.0005,0.200025,1.53802e-05,1.53802e-05,1.53802e-05,-6.16866e-07,0,0,2.66464e-05,0.143616,-6.94406e-08,0,0.143616,0,0,0,0,0,0,0,0.143616,-6.94406e-08,0,0.143616,1,0.0031,-2.56209e-09,2.29928e-09,2.62806e-10,-0.00855099,0,0,0.00855099,0.00386679,2.30703e-05,0.000188693,1.37009e-08,2440.42,-0.508123,-0.204013,31,1,0
0.2,0.0032,0.0005,0.200026,1.68086e-05,1.68086e-05,1.68086e-05,-6.91565e-07,0,0,2.91216e-05,0.14816,-7.00888e-08,0,0.14816,0,0,0,0,0,0,0,0.14816,-7.00888e-08,0,0.14816,1,0.0032,-2.25927e-09,1.99821e-09,2.6106e-10,-0.00853842,0,0,0.00853842,0.00404752,2.52129e-05,0.000188695,1.53666e-08,2217.93,-0.517933,-0.204013,32,1,0
0.2,0.0033,0.0005,0.200028,1.82371e-05,1.82371e-05,1.82371e-05,-7.66264e-07,0,0,3.15968e-05,0.152704,-7.07371e-08,0,0.152704,0,0,0,0,0,0,0,0.152704,-7.07371e-08,0,0.152704,1,0.0033,-1.95645e-09,1.69714e-09,2.59314e-10,-0.00852585,0,0,0.00852585,0.00422826,2.73556e-05,0.000188696,1.70323e-08,1995.45,-0.527743,-0.204013,33,1,0
0.2,0.0034,0.0005,0.20003,2.05e-05,2.05e-05,2.05e-05,-9.41106e-07,0,0,3.55195e-05,0.15721,-7.09937e-08,0,0.15721,0,0,0,0,0,0,0,0.15721,-7.09937e-08,0,0.15721,1,0.0034,-1.67622e-09,1.42018e-09,2.56043e-10,-0.00851325,0,0,0.00851325,0.00441982,3.075e-05,0.0001887,2.09784e-08,1860.07,-0.537553,-0.204013,34,1,0
0.2,0.0035,0.0005,0.200031,2.31802e-05,2.31802e-05,2.31802e-05,-1.16602e-06,0,0,4.01662e-05,0.161698,-7.10547e-08,0,0.161698,0,0,0,0,0,0,0,0.161698,-7.10547e-08,0,0.161698,1,0.0035,-1.4073e-09,1.15529e-09,2.52011e-10,-0.00850065,0,0,0.00850065,0.0046168,3.47703e-05,0.000188705,2.60646e-08,1768.24,-0.547363,-0.204013,35,1,0
0.2,0.0036,0.0005,0.200033,2.58604e-05,2.58604e-05,2.58604e-05,-1.39094e-06,0,0,4.48131e-05,0.166186,-7.11156e-08,0,0.166186,0,0,0,0,0,0,0,0.166186,-7.11156e-08,0,0.166186,1,0.0036,-1.13838e-09,8.90404e-10,2.47979e-10,-0.00848804,0,0,0.00848804,0.00481378,3.87906e-05,0.000188711,3.11508e-08,1676.41,-0.557173,-0.204013,36,1,0
0.2,0.0037,0.0005,0.200035,2.85406e-05,2.85406e-05,2.85406e-05,-1.61585e-06,0,0,4.94601e-05,0.170674,-7.11765e-08,0,0.170674,0,0,0,0,0,0,0,0.170674,-7.11765e-08,0,0.170674,1,0.0037,-8.69452e-10,6.25513e-10,2.43947e-10,-0.00847544,0,0,0.00847544,0.00501076,4.28109e-05,0.000188716,3.6237e-08,1584.58,-0.566983,-0.204013,37,1,0
0.2,0.0038,0.0005,0.200037,3.12208e-05,3.12208e-05,3.12208e-05,-1.84076e-06,0,0,5.41073e-05,0.175162,-7.12374e-08,0,0.175162,0,0,0,0,0,0,0,0.175162,-7.12374e-08,0,0.175162,1,0.0038,-6.00528e-10,3.60623e-10,2.39914e-10,-0.00846283,0,0,0.00846283,0.00520774,4.68312e-05,0.000188721,4.13233e-08,1492.76,-0.576793,-0.204013,38,1,0
0.2,0.0039,0.0005,0.200039,3.3901e-05,3.3901e-05,3.3901e-05,-2.06568e-06,0,0,5.87545e-05,0.179651,-7.12983e-08,0,0.179651,0,0,0,0,0,0,0,0.179651,-7.12983e-08,0,0.179651,1,0.0039,-3.31604e-10,9.57321e-11,2.35882e-10,-0.00845022,0,0,0.00845022,0.00540471,5.08515e-05,0.000188726,4.64095e-08,1400.93,-0.586603,-0.204013,39,1,0
0.2,0.004,0.0005,0.200041,3.65812e-05,3.65812e-05,3.65812e-05,-2.29059e-06,0,0,6.34018e-05,0.184139,-7.13593e-08,0,0.184139,0,0,0,0,0,0,0,0.184139,-7.13593e-08,0,0.184139,1,0.004,-6.26794e-11,-1.69158e-10,2.3185e-10,-0.00843762,0,0,0.00843762,0.00560169,5.48718e-05,0.000188731,5.14957e-08,1309.1,-0.596413,-0.204013,40,1,0
0.2,0.0041,0.0005,0.200043,3.92614e-05,3.92614e-05,3.92614e-05,-2.51551e-06,0,0,6.80492e-05,0.188626,-7.14202e-08,0,0.188626,0,0,0,0,0,0,0,0.188626,-7.14202e-08,0,0.188626,1,0.0041,2.06244e-10,-4.34048e-10,2.27818e-10,-0.00842501,0,0,0.00842501,0.00579867,5.88921e-05,0.000188736,5.65819e-08,1217.27,-0.606223,-0.204013,41,1,0
0.2,0.0042,0.0005,0.200045,4.25113e-05,4.25113e-05,4.25113e-05,-2.84556e-06,0,0,7.36866e-05,0.193095,-7.12929e-08,0,0.193095,0,0,0,0,0,0,0,0.193095,-7.12929e-08,0,0.193095,1,0.0042,4.70204e-10,-6.94886e-10,2.24696e-10,-0.0084124,0,0,0.0084124,0.00600031,6.3767e-05,0.000188744,6.41079e-08,1140.72,-0.616033,-0.204013,42,1,0
0.2,0.0043,0.0005,0.200047,4.69007e-05,4.69007e-05,4.69007e-05,-3.38587e-06,0,0,8.13049e-05,0.197526,-7.07892e-08,0,0.197526,0,0,0,0,0,0,0,0.197526,-7.07892e-08,0,0.197526,1,0.0043,7.24238e-10,-9.47621e-10,2.23397e-10,-0.00839975,0,0,0.00839975,0.00621129,7.03511e-05,0.000188756,7.65135e-08,1094.71,-0.625843,-0.204013,43,1,0
0.2,0.0044,0.0005,0.200049,5.12901e-05,5.12901e-05,5.12901e-05,-3.92619e-06,0,0,8.89237e-05,0.201957,-7.02856e-08,0,0.201957,0,0,0,0,0,0,0,0.201957,-7.02856e-08,0,0.201957,1,0.0044,9.7827e-10,-1.20035e-09,2.22098e-10,-0.00838711,0,0,0.00838711,0.00642226,7.69352e-05,0.000188768,8.89191e-08,1048.71,-0.635653,-0.204013,44,1,0
0.2,0.0045,0.0005,0.200051,5.56795e-05,5.56795e-05,5.56795e-05,-4.4665e-06,0,0,9.65431e-05,0.206388,-6.97819e-08,0,0.206388,0,0,0,0,0,0,0,0.206388,-6.97819e-08,0,0.206388,1,0.0045,1.2323e-09,-1.45309e-09,2.20799e-10,-0.00837447,0,0,0.00837447,0.00663324,8.35193e-05,0.000188781,1.01325e-07,1002.7,-0.645463,-0.204013,45,1,0
0.2,0.0046,0.0005,0.200054,6.00689e-05,6.00689e-05,6.00689e-05,-5.00682e-06,0,0,0.000104163,0.210819,-6.92782e-08,0,0.210819,0,0,0,0,0,0,0,0.210819,-6.92782e-08,0,0.210819,1,0.0046,1.48634e-09,-1.70582e-09,2.195e-10,-0.00836183,0,0,0.00836183,0.00684421,9.01034e-05,0.000188793,1.1373e-07,956.697,-0.655273,-0.204013,46,1,0
0.2,0.0047,0.0005,0.200056,6.44583e-05,6.44583e-05,6.44583e-05,-5.54713e-06,0,0,0.000111783,0.21525,-6.87745e-08,0,0.21525,0,0,0,0,0,0,0,0.21525,-6.87745e-08,0,0.21525,1,0.0047,1.74037e-09,-1.95856e-09,2.182e-10,-0.00834919,0,0,0.00834919,0.00705519,9.66875e-05,0.000188806,1.26136e-07,910.692,-0.665083,-0.204013,47,1,0
0.2,0.0048,0.0005,0.200058,6.88477e-05,6.88477e-05,6.88477e-05,-6.08745e-06,0,0,0.000119403,0.21968,-6.82709e-08,0,0.21968,0,0,0,0,0,0,0,0.21968,-6.82709e-08,0,0.21968,1,0.0048,1.9944e-09,-2.21129e-09,2.16901e-10,-0.00833655,0,0,0.00833655,0.00726616,0.000103272,0.000188818,1.38541e-07,864.686,-0.674893,-0.204013,48,1,0
0.2,0.0049,0.0005,0.200061,7.32371e-05,7.32371e-05,7.32371e-05,-6.62776e-06,0,0,0.000127023,0.224111,-6.77672e-08,0,0.224111,0,0,0,0,0,0,0,0.224111,-6.77672e-08,0,0.224111,1,0.0049,2.24843e-09,-2.46402e-09,2.15602e-10,-0.00832391,0,0,0.00832391,0.00747714,0.000109856,0.000188831,1.50947e-07,818.681,-0.684703,-0.204013,49,1,0
0.2,0.005,0.0005,0.200063,7.76265e-05,7.76265e-05,7.76265e-05,-7.16808e-06,0,0,0.000134644,0.228542,-6.72635e-08,0,0.228542,0,0,0,0,0,0,0,0.228542,-6.72635e-08,0,0.228542,1,0.005,2.50247e-09,-2.71676e-09,2.14303e-10,-0.00831127,0,0,0.00831127,0.00768811,0.00011644,0.000188843,1.63353e-07,772.676,-0.694513,-0.204013,50,1,0
0.2,0.0051,0.0005,0.200066,8.41807e-05,8.41807e-05,8.41807e-05,-8.27246e-06,0,0,0.00014604,0.232914,-6.62153e-08,0,0.232914,0,0,0,0,0,0,0,0.232914,-6.62153e-08,0,0.232914,0.999999,0.0051,2.74993e-09,-2.966e-09,2.16081e-10,-0.00829859,0,0,0.00829859,0.00791251,0.000126271,0.000188869,1.89137e-07,746.591,-0.704323,-0.204014,51,1,0
0.2,0.0052,0.0005,0.200068,9.07349e-05,9.07349e-05,9.07349e-05,-9.37683e-06,0,0,0.000157437,0.237285,-6.5167e-08,0,0.237285,0,0,0,0,0,0,0,0.237285,-6.5167e-08,0,0.237285,0.999999,0.0052,2.99738e-09,-3.21523e-09,2.1786e-10,-0.00828591,0,0,0.00828591,0.00813691,0.000136103,0.000188894,2.1492e-07,720.507,-0.714133,-0.204014,52,1,0
0.2,0.0053,0.0005,0.200071,9.72891e-05,9.72891e-05,9.72891e-05,-1.04812e-05,0,0,0.000168835,0.241657,-6.41188e-08,0,0.241657,0,0,0,0,0,0,0,0.241657,-6.41188e-08,0,0.241657,0.999999,0.0053,3.24484e-09,-3.46447e-09,2.19638e-10,-0.00827324,0,0,0.00827324,0.00836131,0.000145934,0.00018892,2.40704e-07,694.423,-0.723943,-0.204014,53,1,0
0.2,0.0054,0.0005,0.200074,0.000103843,0.000103843,0.000103843,-1.15856e-05,0,0,0.000180235,0.246028,-6.30705e-08,0,0.246028,0,0,0,0,0,0,0,0.246028,-6.30705e-08,0,0.246028,0.999999,0.0054,3.4923e-09,-3.71371e-09,2.21417e-10,-0.00826056,0,0,0.00826056,0.0085857,0.000155765,0.000188946,2.66488e-07,668.339,-0.733753,-0.204014,54,1,0
0.2,0.0055,0.0005,0.200076,0.000110398,0.000110398,0.000110398,-1.269e-05,0,0,0.000191635,0.2504,-6.20222e-08,0,0.2504,0,0,0,0,0,0,0,0.2504,-6.20222e-08,0,0.2504,0.999999,0.0055,3.73976e-09,-3.96294e-09,2.23195e-10,-0.00824788,0,0,0.00824788,0.0088101,0.000165596,0.000188972,2.92272e-07,642.254,-0.743563,-0.204014,55,1,0
0.2,0.0056,0.0005,0.200079,0.000116952,0.000116952,0.000116952,-1.37943e-05,0,0,0.000203036,0.254771,-6.0974e-08,0,0.254771,0,0,0,0,0,0,0,0.254771,-6.0974e-08,0,0.254771,0.999999,0.0056,3.98722e-09,-4.21218e-09,2.24974e-10,-0.00823521,0,0,0.00823521,0.00903449,0.000175428,0.000188997,3.18056e-07,616.17,-0.753373,-0.204014,56,1,0
0.2,0.0057,0.0005,0.200082,0.000123506,0.000123506,0.000123506,-1.48987e-05,0,0,0.000214437,0.259143,-5.99257e-08,0,0.259143,0,0,0,0,0,0,0,0.259143,-5.99257e-08,0,0.259143,0.999999,0.0057,4.23468e-09,-4.46142e-09,2.26752e-10,-0.00822253,0,0,0.00822253,0.00925889,0.000185259,0.000189023,3.4384e-07,590.086,-0.763183,-0.204014,57,1,0
0.2,0.0058,0.0005,0.200085,0.00013006,0.00013006,0.00013006,-1.60031e-05,0,0,0.000225839,0.263514,-5.88775e-08,0,0.263514,0,0,0,0,0,0,0,0.263514,-5.88775e-08,0,0.263514,0.999999,0.0058,4.48214e-09,-4.71066e-09,2.28531e-10,-0.00820986,0,0,0.00820986,0.00948329,0.00019509,0.000189049,3.69624e-07,564.002,-0.772993,-0.204014,58,1,0
